Card Number,Card Name,Level,Rank,Link,Card Text,Status,Card Type,Pendulum Effect,Pendulum Scale,Attribute,Monster Type,ATK,DEF
7128,"""A"" Cell Breeding Device",,,,"During each of your Standby Phases, put 1 A-Counter on 1 face-up monster your opponent controls.",Unlimited,Continuous Spell,,,,,,
7315,"""A"" Cell Incubator",,,,"Each time an A-Counter(s) is removed from play by a card effect, place 1 A-Counter on this card. When this card is destroyed, distribute the A-Counters on this card among face-up monsters.",Unlimited,Continuous Spell,,,,,,
12653,"""A"" Cell Recombination Device",,,,"Target 1 face-up monster on the field; send 1 ""Alien"" monster from your Deck to the Graveyard, and if you do, place A-Counters on that monster equal to the Level of the sent monster. During your Main Phase, except the turn this card was sent to the Graveyard: You can banish this card from your Graveyard; add 1 ""Alien"" monster from your Deck to your hand.",Unlimited,Quick-Play Spell,,,,,,
6994,"""A"" Cell Scatter Burst",,,,"Select 1 face-up ""Alien"" monster you control. Destroy it and distribute new A-Counters equal to its Level among your opponent's face-up monsters.",Unlimited,Quick-Play Spell,,,,,,
11391,1st Movement Solo,,,,"If you control no monsters: Special Summon 1 Level 4 or lower ""Melodious"" monster from your hand or Deck. You can only activate 1 ""1st Movement Solo"" per turn. You cannot Special Summon monsters during the turn you activate this card, except ""Melodious"" monsters.",Unlimited,Normal Spell,,,,,,
6032,3-Hump Lacooda,3.0,,,"If there are 3 face-up ""3-Hump Lacooda"" cards on your side of the field, Tribute 2 of them to draw 3 cards.",Unlimited,Effect Monster,,,EARTH,Beast,500.0,1500.0
5139,4-Starred Ladybug of Doom,3.0,,,FLIP: Destroy all Level 4 monsters your opponent controls.,Unlimited,Effect Monster,,,WIND,Insect,800.0,1200.0
6053,7,,,,"When there are 3 face-up ""7"" cards on your side of the field, draw 3 cards from your Deck. Then destroy all ""7"" cards. When this card is sent directly from the field to your Graveyard, increase your Life Points by 700 points.",Unlimited,Continuous Spell,,,,,,
4446,7 Colored Fish,4.0,,,A rare rainbow fish that has never been caught by mortal man.,Unlimited,Normal Monster,,,WATER,Fish,1800.0,800.0
4806,7 Completed,,,,"Activate this card by choosing ATK or DEF; equip only to a Machine monster. It gains 700 ATK or DEF, depending on the choice.",Unlimited,Equip Spell,,,,,,
5421,8-Claws Scorpion,2.0,,,"Once per turn, you can flip this card into face-down Defense Position. When this card attacks an opponent's face-down Defense Position monster, this card's ATK becomes 2400 during damage calculation only.",Unlimited,Effect Monster,,,DARK,Insect,300.0,200.0
5520,A Cat of Ill Omen,2.0,,,"FLIP: Choose 1 Trap from your Deck and place it on top of your Deck, or, if ""Necrovalley"" is on the field, you can add that Trap to your hand instead.",Unlimited,Flip / Effect Monster,,,DARK,Beast,500.0,300.0
5722,A Deal with Dark Ruler,,,,"(This card is always treated as an ""Archfiend"" card.)If a Level 8 or higher monster under your control was sent to the Graveyard this turn: Special Summon 1 ""Berserk Dragon"" from your hand or Deck.",Unlimited,Quick-Play Spell,,,,,,
6266,A Feather of the Phoenix,,,,"Discard 1 card, then target 1 card in your GY; return that target to the top of your Deck.",Unlimited,Normal Spell,,,,,,
5332,A Feint Plan,,,,A player cannot attack face-down monsters during this turn.,Unlimited,Normal Trap,,,,,,
5915,A Hero Emerges,,,,"When an opponent's monster declares an attack: Your opponent chooses 1 random card from your hand, then if it is a monster that can be Special Summoned, Special Summon it. Otherwise, send it to the Graveyard.",Unlimited,Normal Trap,,,,,,
7187,A Hero Lives,,,,"If you control no face-up monsters: Pay half your LP; Special Summon 1 Level 4 or lower ""Elemental HERO"" monster from your Deck.",Limited,Normal Spell,,,,,,
5387,A Legendary Ocean,,,,"(This card's name is always treated as ""Umi"".)All WATER monsters on the field gain 200 ATK/DEF. Reduce the Level of all WATER monsters in both players' hands and on the field by 1.",Unlimited,Field Spell,,,,,,
8370,A Major Upset,,,,Tribute 1 face-up Attack Position Level 2 or lower monster you control; return all Level 7 or higher Special Summoned monsters to the hand.,Unlimited,Normal Trap,,,,,,
