,ARCHSERIE
0,@Ignister
1,A-to-Z
2,A.I.
3,ABC
4,Abyss Actor
5,Abyss Costume
6,Abyss Script
7,Abyss-
8,Adamancipator
9,Advanced Crystal Beast
10,Aesir
11,Aether
12,Aged counterpart
13,Alchemy Beast
14,Alien
15,Alligator
16,Allure Queen
17,Ally of Justice
18,Altergeist
19,Amazoness
20,Amorphage
21,Ancient
22,Ancient
23,Ancient Gear
24,Ancient Treasure
25,Ancient Warriors
26,Angel
27,Anti
28,Ape
29,Apoqliphort
30,Appliancer
31,Aquaactress
32,Aquarium
33,Arcana Force
34,Archfiend
35,Armatos Legio
36,Armed Dragon
37,Armor Canine
38,Armor Ninja
39,Aroma
40,Artifact
41,Artorigus
42,Assassin
43,Assault Blackwing
44,Assault Mode
45,Astral
46,Atlandis
47,Atlantean
48,Attack
49,Attribute Booster
50,Attribute Knight
51,Attribute Reptile
52,Attribute Spirit
53,Attribute Summoner
54,B.E.S.
55,Baboon of the Forest
56,Baby
57,Backup
58,Bamboo Sword
59,Barbaros
60,Barian
61,Barian's
62,Barrier Statue
63,Batteryman
64,Battleguard
65,Battlewasp
66,Battlin' Boxer
67,Beast's Battle
68,Beastborg
69,Beetron
70,Black Luster Soldier
71,Blackiwng
72,Blackwing
73,Blackwing Tamer
74,Blaze Accelerator
75,Blue-Eyes
76,Bonding
77,Boot-Up
78,Borrel
79,Bounzer
80,Bugroth
81,Bujin
82,Burning Abyss
83,Burning Skull
84,Buster Blader
85,Butterfly
86,Butterspy
87,""C""
88,C
89,C/C
90,CXyz
91,Captain
92,Carrier
93,Castle
94,Cat
95,Cat Girl
96,Cataclysmic
97,Cataclysmic Charmer
98,Celestial
99,Celtic Guard
100,Cenozoic
101,Cenozoic Fossil Knight
102,Champion
103,Change
104,Chaos
105,Chaos Phantom
106,Charmer
107,Chemical
108,Chemicritter
109,Chimeratech
110,Chronomaly
111,Chrysalis
112,Chthonian
113,Cicada
114,Cipher
115,Clear
116,Clear Wing
117,Clock Knight
118,Cloudian
119,Coach
120,Code Talker
121,Codebreaker
122,Comics Hero
123,Constellar
124,Cookpal
125,Corn
126,Cosmic Synchro Monster
127,Counter Fairy
128,Crashbug
129,Crusadia
130,Crystal
131,Crystal Beast
132,Crystron
133,Cubic
134,Cubic Seed
135,Cular
136,Cup
137,Cupid
138,Cyber
139,Cyber Angel
140,Cyber Dragon
141,Cyber Girl
142,Cyberdark
143,Cybernetic
144,Cyberspace
145,Cynet
146,D-Scale
147,D.D.
148,D/D
149,D/D/D
150,DARK Dragon Tech
151,DNA
152,Daedalus
153,Danger!
154,Dante
155,Dark Blade
156,Dark Contract
157,Dark Lucius
158,Dark Magician
159,Dark Magician Girl
160,Dark Mummy
161,Dark Scorpion
162,Dark Tuner
163,Dark World
164,Dark counterpart
165,Darklord
166,Darkness
167,Dart
168,Debugger
169,Deep Sea
170,Demise
171,Demise and Ruin
172,Designator
173,Deskbot
174,Destiny HERO
175,Destruction Sword
176,Dice
