Card Number,Card Name,Status,Card Text,Card Type,Attribute,Level,Monster Type,ATK,DEF,Rank,Pendulum Effect,Pendulum Scale,Link
10207,Three of a Kind,Unlimited,"Card Text If you control 3 or more monsters with the same name, except Tokens: Target 3 cards your opponent controls; destroy those targets.",Icon Normal Trap,,,,,,,,,
10208,Soul Drain,Unlimited,"Card Text Activate by paying 1000 Life Points. Monsters that are banished, as well as monsters in the Graveyard, cannot activate their effects (that start a Chain).",Icon Continuous Trap,,,,,,,,,
10209,Rebound,Unlimited,"Card Text When your opponent activates a Spell Card, Trap Card, or monster effect that returns a card(s) from the field to the hand: Negate that effect, and if you do, send 1 card from your opponent's hand (at random) or from their side of the field to the Graveyard. When this Set card is destroyed by your opponent's card effect and sent to the Graveyard: Draw 1 card.",Icon Counter Trap,,,,,,,,,
10210,Lucky Punch,Unlimited,"Card Text Once per turn, when an opponent's monster declares an attack: You can toss a coin 3 times. If the result is 3 heads, draw 3 cards, but if the result is 3 tails, destroy this card. If this face-up card on the field is destroyed: You lose 6000 Life Points.",Icon Continuous Trap,,,,,,,,,
10211,Papa-Corn,Unlimited,"Card Text While a Field Spell Card is face-up on the field, this card gains 1000 ATK.",Card Type Effect,Attribute EARTH,Level 4,Monster Type Plant,ATK 1200,DEF 1200,,,,
10212,Number 6: Chronomaly Atlandis,Unlimited,"Card Text 2 Level 6 monstersWhen this card is Xyz Summoned: You can target 1 ""Number"" monster in your Graveyard; equip that target to this card. This card gains ATK equal to half the ATK of that equipped monster. Once per turn: You can detach 1 Xyz Material from this card, then send the monster equipped by this effect to the Graveyard; halve your opponent's Life Points. You cannot conduct your Battle Phase the turn you activate this effect.",Card Type Xyz / Effect,Attribute LIGHT,,Monster Type Machine,ATK 2600,DEF 3000,Rank 6,,,
10213,Miracle Contact,Unlimited,"Card Text Shuffle into the Deck, from your hand, field, or GY, the Fusion Materials that are listed on an ""Elemental HERO"" Fusion Monster that lists ""Elemental HERO Neos"" as Fusion Material, then Special Summon that Fusion Monster from your Extra Deck, ignoring its Summoning conditions.",Icon Normal Spell,,,,,,,,,
10214,Advanced Dark,Unlimited,"Card Text All ""Crystal Beast"" monsters on the field and in the GY become DARK. If an ""Ultimate Crystal"" monster attacks, negate the effects of the attack target during that Battle Phase. During damage calculation, if a ""Crystal Beast"" monster you control battles and you would take damage: You can send 1 ""Crystal Beast"" monster from your Deck to the GY; you take no battle damage from that battle.",Icon Field Spell,,,,,,,,,
10215,Thunder Sea Horse,Unlimited,"Card Text You can discard this card; add 2 Level 4 LIGHT Thunder-Type monsters of the same name with 1600 or less ATK from your Deck to your hand. You can only use the effect of ""Thunder Sea Horse"" once per turn. You cannot Special Summon during the turn you activate this effect.",Card Type Effect,Attribute LIGHT,Level 4,Monster Type Thunder,ATK 1600,DEF 1600,,,,
10216,Number 40: Gimmick Puppet of Strings,Unlimited,"Card Text 2 Level 8 monstersOnce per turn: You can detach 1 material from this card; place 1 String Counter on each face-up monster on the field, except this card. Once per turn, during the next End Phase of the opponent of the player who placed a String Counter(s) by this effect: Destroy the monsters with String Counters, and if you do, inflict 500 damage to your opponent for each monster destroyed.",Card Type Xyz / Effect,Attribute DARK,,Monster Type Machine,ATK 3000,DEF 2000,Rank 8,,,
10217,Shadow of the Six Samurai - Shien,Unlimited,"Card Text 2 Level 4 ""Six Samurai"" monstersOnce per turn (Quick Effect): You can detach 1 material from this card, then target 1 ""Six Samurai"" monster you control with less than 2000 ATK; its original ATK becomes 2000 until the end of this turn.",Card Type Xyz / Effect,Attribute EARTH,,Monster Type Warrior,ATK 2500,DEF 400,Rank 4,,,
10218,"Poseidra, the Atlantean Dragon",Unlimited,"Card Text You can Tribute 3 Level 3 or lower WATER monsters; Special Summon this card from your hand or Graveyard. When you do: Return all Spell and Trap Cards on the field to the hand, and if you do, if 3 or more cards are returned to the hand by this effect, all monsters your opponent currently controls lose 300 ATK for each.",Card Type Effect,Attribute WATER,Level 7,Monster Type Sea Serpent,ATK 2800,DEF 1600,,,,
10219,Atlantean Dragoons,Unlimited,"Card Text All Level 3 or lower Sea Serpent-Type monsters you control can attack your opponent directly. When this card is sent to the Graveyard to activate a WATER monster's effect: Add 1 Sea Serpent-Type monster from your Deck to your hand, except ""Atlantean Dragoons"".",Card Type Effect,Attribute WATER,Level 4,Monster Type Sea Serpent,ATK 1800,DEF 0,,,,
10220,Atlantean Marksman,Unlimited,"Card Text When this card inflicts Battle Damage to your opponent: You can Special Summon 1 Level 4 or lower ""Atlantean"" Sea Serpent-Type monster from your Deck, except ""Atlantean Marksman"". When this card is sent to the Graveyard to activate a WATER monster's effect: Target 1 Set card your opponent controls; destroy that target.",Card Type Effect,Attribute WATER,Level 3,Monster Type Sea Serpent,ATK 1400,DEF 0,,,,
10221,Atlantean Heavy Infantry,Unlimited,"Card Text During your Main Phase, you can Normal Summon 1 Level 4 or lower Sea Serpent-Type monster in addition to your Normal Summon/Set. (You can only gain this effect once per turn.) When this card is sent to the Graveyard to activate a WATER monster's effect: Target 1 face-up card your opponent controls; destroy that target.",Card Type Effect,Attribute WATER,Level 2,Monster Type Sea Serpent,ATK 0,DEF 1600,,,,
10222,Call of the Atlanteans,Unlimited,Card Text Target 3 Level 3 or lower Sea Serpent-Type monsters in your Graveyard; Special Summon all 3 of them. You cannot Special Summon any other monsters during the turn you activate this card.,Icon Quick-Play Spell,,,,,,,,,
10223,Gagaga Caesar,Unlimited,"Card Text Cannot attack unless you control another face-up ""Gagaga"" monster. Once per turn: You can banish 1 monster from your Graveyard that has a Level; the Levels of all face-up ""Gagaga"" monsters you currently control become the Level of that monster. This card cannot be used as a Synchro Material Monster.",Card Type Effect,Attribute EARTH,Level 3,Monster Type Warrior,ATK 1800,DEF 1800,,,,
10224,Bull Blader,Unlimited,"Card Text When an attack is declared involving this card and an opponent's monster: You can activate this effect; during this battle involving this monster, neither player takes any battle damage, also destroy the opponent's monster after damage calculation.",Card Type Effect,Attribute EARTH,Level 4,Monster Type Warrior,ATK 1600,DEF 1600,,,,
