"Card Name","Status","Card Text","Attribute","Level","Monster Type","Card Type","ATK","DEF","Icon"
"Blue-Eyes White Dragon","Unlimited","Card Text This legendary dragon is a powerful engine of destruction. Virtually invincible, very few have faced this awesome creature and lived to tell the tale.","Attribute LIGHT","Level 8","Monster Type Dragon","Card Type Normal","ATK 3000","DEF 2500",""
"Mystical Elf","Unlimited","Card Text A delicate elf that lacks offense, but has a terrific defense backed by mystical power.","Attribute LIGHT","Level 4","Monster Type Spellcaster","Card Type Normal","ATK 800","DEF 2000",""
"Hitotsu-Me Giant","Unlimited","Card Text A one-eyed behemoth with thick, powerful arms made for delivering punishing blows.","Attribute EARTH","Level 4","Monster Type Beast-Warrior","Card Type Normal","ATK 1200","DEF 1000",""
"Baby Dragon","Unlimited","Card Text Much more than just a child, this dragon is gifted with untapped power.","Attribute WIND","Level 3","Monster Type Dragon","Card Type Normal","ATK 1200","DEF 700",""
"Ryu-Kishin","Unlimited","Card Text A very elusive creature that looks like a harmless statue until it attacks.","Attribute DARK","Level 3","Monster Type Fiend","Card Type Normal","ATK 1000","DEF 500",""
"Feral Imp","Unlimited","Card Text A playful little fiend that lurks in the dark, waiting to attack an unwary enemy.","Attribute DARK","Level 4","Monster Type Fiend","Card Type Normal","ATK 1300","DEF 1400",""
"Winged Dragon, Guardian of the Fortress #1","Unlimited","Card Text A dragon commonly found guarding mountain fortresses. Its signature attack is a sweeping dive from out of the blue.","Attribute WIND","Level 4","Monster Type Dragon","Card Type Normal","ATK 1400","DEF 1200",""
"Mushroom Man","Unlimited","Card Text Found in humid regions, this creature attacks enemies with a lethal rain of poison spores.","Attribute EARTH","Level 2","Monster Type Plant","Card Type Normal","ATK 800","DEF 600",""
"Shadow Specter","Unlimited","Card Text Powerful in groups, this animal spirit can be found in the wastelands.","Attribute DARK","Level 1","Monster Type Zombie","Card Type Normal","ATK 500","DEF 200",""
"Blackland Fire Dragon","Unlimited","Card Text A dragon that dwells in the depths of darkness, its vulnerability lies in its poor eyesight.","Attribute DARK","Level 4","Monster Type Dragon","Card Type Normal","ATK 1500","DEF 800",""
