"Card Name","Status","Card Text","Icon","Attribute","Level","Monster Type","Card Type","ATK","DEF"
"Harpies' Hunting Ground","Unlimited","Card Text All Winged Beast monsters gain 200 ATK/DEF. If any ""Harpie Lady"" or ""Harpie Lady Sisters"" is Normal or Special Summoned: The player who conducted the Summon targets 1 Spell/Trap on the field; that player destroys that target.","Icon Field Spell","","","","","",""
"Triangle Ecstasy Spark","Unlimited","Card Text Until the end of this turn, the ATK of all ""Harpie Lady Sisters"" currently on the field becomes 2700, your opponent cannot activate any Trap Cards, also negate all your opponent's Trap effects on the field.","Icon Normal Spell","","","","","",""
"Necklace of Command","Unlimited","Card Text When a monster you control that's equipped with this card is destroyed by battle, and this card is sent to the Graveyard, you can either:●Draw 1 card. OR●Discard 1 random card from your opponent's hand.","Icon Equip Spell","","","","","",""
"Flint","Unlimited","Card Text The equipped monster loses 300 ATK and cannot change its battle position or declare an attack. If this card is destroyed because the equipped monster is destroyed: Target 1 monster on the field; equip this card to that monster.","Icon Equip Spell","","","","","",""
"Mokey Mokey Smackdown","Unlimited","Card Text While a face-up ""Mokey Mokey"" is on your side of the field, if a Fairy-Type monster on your side of the field is destroyed, the ATK of each ""Mokey Mokey"" on your side of the field becomes 3000 until the end of this turn.","Icon Continuous Spell","","","","","",""
"Back to Square One","Unlimited","Card Text Discard 1 card, then target 1 monster on the field; place that target on the top of the Deck.","Icon Normal Spell","","","","","",""
"Monster Reincarnation","Unlimited","Card Text Discard 1 card, then target 1 monster in your GY; add it to your hand.","Icon Normal Spell","","","","","",""
"Ballista of Rampart Smashing","Unlimited","Card Text If the equipped monster attacks a face-down Defense Position monster, it gains 1500 ATK during damage calculation only.","Icon Equip Spell","","","","","",""
"Lighten the Load","Unlimited","Card Text Once per turn, you can add 1 Level 7 or higher monster from your hand to your Deck and shuffle it, then draw 1 card.","Icon Continuous Spell","","","","","",""
"Malice Dispersion","Unlimited","Card Text Discard 1 card from your hand. Destroy all face-up Continuous Trap Cards.","Icon Quick-Play Spell","","","","","",""
"Divine Wrath","Unlimited","Card Text When a monster effect is activated: Discard 1 card; negate the activation, and if you do, destroy that monster.","Icon Counter Trap","","","","","",""
"Xing Zhen Hu","Unlimited","Card Text Activate by selecting 2 Set Spell or Trap Cards on the field. The selected Spell or Trap Cards cannot be activated.","Icon Continuous Trap","","","","","",""
"Rare Metalmorph","Unlimited","Card Text Activate this card by targeting 1 Machine-Type monster on the field; it gains 500 ATK. Once, negate a Spell effect that targets that monster. When that monster leaves the field, destroy this card.","Icon Continuous Trap","","","","","",""
"Fruits of Kozaky's Studies","Unlimited","Card Text Look at the top 3 cards of your Deck and return those cards to the top of the Deck in any order.","Icon Normal Trap","","","","","",""
