"Card Name","Status","Card Text","Attribute","Level","Monster Type","Card Type","ATK","DEF","Icon","Rank"
"Phantom Cricket","Unlimited","Card Text FLIP: Return 1 face-down monster from the field to the top of its owner's Deck.","Attribute EARTH","Level 2","Monster Type Insect","Card Type Effect","ATK 300","DEF 1000","",""
"Crystal Seer","Unlimited","Card Text FLIP: Excavate the top 2 cards of your Deck, then add 1 of them to your hand, then place the other on the bottom of your Deck.","Attribute WATER","Level 1","Monster Type Spellcaster","Card Type Flip / Effect","ATK 100","DEF 100","",""
"Neo Space Pathfinder","Unlimited","Card Text You can discard this card to the Graveyard to add 1 ""Neo Space"" from your Deck or Graveyard to your hand.","Attribute LIGHT","Level 4","Monster Type Warrior","Card Type Effect","ATK 1800","DEF 800","",""
"Frost and Flame Dragon","Unlimited","Card Text Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by banishing 1 FIRE and 2 WATER monsters from your Graveyard, and cannot be Special Summoned by other ways. Once per turn: You can discard 1 card to target 1 monster on the field; destroy that target.","Attribute WATER","Level 6","Monster Type Dragon","Card Type Effect","ATK 2300","DEF 2000","",""
"Desert Twister","Unlimited","Card Text Cannot be Normal Summoned or Set. Must be Special Summoned (from your hand) by banishing 2 WIND and 1 EARTH monsters from your GY. Once per turn: You can discard 1 card, then target 1 Spell/Trap on the field; destroy it.","Attribute WIND","Level 6","Monster Type Fiend","Card Type Effect","ATK 2300","DEF 2000","",""
"Razor Lizard","Unlimited","Card Text While you control another Reptile-Type monster, if this card attacks a face-down Defense Position monster, destroy the monster immediately with this card's effect without flipping it face-up or applying damage calculation.","Attribute EARTH","Level 3","Monster Type Reptile","Card Type Effect","ATK 1500","DEF 300","",""
"Light Effigy","Unlimited","Card Text If you Tribute Summon a LIGHT Normal Monster, you can treat this 1 monster as 2 Tributes.","Attribute LIGHT","Level 4","Monster Type Fairy","Card Type Effect","ATK 1500","DEF 0","",""
"Dark Effigy","Unlimited","Card Text If you Tribute Summon a DARK Normal Monster, you can treat this 1 monster as 2 Tributes.","Attribute DARK","Level 4","Monster Type Fiend","Card Type Effect","ATK 1500","DEF 0","",""
"Zombie Master","Unlimited","Card Text Once per turn: You can send 1 monster from your hand to the GY, then target 1 Level 4 or lower Zombie monster in either GY; Special Summon that target. This monster must be face-up on the field to activate and to resolve this effect.","Attribute DARK","Level 4","Monster Type Zombie","Card Type Effect","ATK 1800","DEF 0","",""
"Cocoon Rebirth","Unlimited","Card Text You can Tribute 1 face-up ""Chrysalis"" monster you control to Special Summon 1 ""Neo-Spacian"" monster written in the card text of that card from either player's Graveyard.","","","","","","","Icon Continuous Spell",""
"Cyberdark Impact!","Unlimited","Card Text Fusion Summon 1 ""Cyberdark Dragon"" from your Extra Deck, by returning 1 each of ""Cyberdark Horn"", ""Cyberdark Edge"", and ""Cyberdark Keel"" from your hand, GY, and/or anywhere on your field, to the Deck, as Fusion Material.","","","","","","","Icon Normal Spell",""
"Flint Missile","Unlimited","Card Text Destroy 1 monster equipped with ""Flint"". You can return this card to your Deck instead of sending it to the Graveyard after it resolves.","","","","","","","Icon Quick-Play Spell",""
"Double Summon","Unlimited","Card Text You can conduct 2 Normal Summons/Sets this turn, not just 1.","","","","","","","Icon Normal Spell",""
"Summoner's Art","Unlimited","Card Text Add 1 Level 5 or higher Normal Monster from your Deck to your hand.","","","","","","","Icon Normal Spell",""
"Creature Seizure","Unlimited","Card Text Each player gives their opponent control of 1 of their monsters (controller's choice). You must choose a face-up Normal Monster.","","","","","","","Icon Normal Spell",""
"Phalanx Pike","Unlimited","Card Text The equipped monster gains 900 ATK for each card in either Graveyard that has the same name it does.","","","","","","","Icon Equip Spell",""
"Symbols of Duty","Unlimited","Card Text Send 1 Normal Monster you control to the Graveyard, then target 1 monster in either player's Graveyard; Special Summon it, and if you do, equip this card to it. When this card leaves the field, destroy the equipped monster.","","","","","","","Icon Equip Spell",""
"Amulet of Ambition","Unlimited","Card Text Equip only to a Normal Monster. If it battles a monster with a higher Level, the equipped monster gains 500 ATK x the difference in Levels, during that damage calculation only. When this card is sent to the GY: You can place it on top of your Deck.","","","","","","","Icon Equip Spell",""
"Broken Bamboo Sword","Unlimited","Card Text The equipped monster gains 0 ATK.","","","","","","","Icon Equip Spell",""
"Ambush Fangs","Unlimited","Card Text Activate only when a face-up ""Venom"" monster you control is declared as an attack target. Negate the attack and end the Battle Phase. Then place 1 Venom Counter on the monster that attacked.","","","","","","","Icon Normal Trap",""
"Venom Burn","Unlimited","Card Text Select 1 monster with a Venom Counter(s). Remove all Venom Counters from that card, and inflict 700 damage to your opponent for each Venom Counter removed.","","","","","","","Icon Normal Trap",""
"Common Charity","Unlimited","Card Text Draw 2 cards, then banish 1 Normal Monster from your hand, or, if you do not have any in your hand, send your entire hand to the GY.","","","","","","","Icon Normal Trap",""
